logz err
229717.581628 0.042613
229717.623926 0.042719
229717.522824 0.043022
229717.582498 0.042976
229717.581355 0.042916
229717.628491 0.042523
229717.598884 0.042655
229717.638640 0.042241
229717.612650 0.042728
229717.677239 0.041586
229717.641142 0.041923
229717.569490 0.042794
229717.535203 0.043434
229717.605298 0.042382
229717.619007 0.042387
229717.606568 0.043312
229717.543625 0.043214
229717.631910 0.042566
229717.591963 0.042821
229717.569724 0.043079
229717.640369 0.042041
229717.624573 0.042750
229717.584445 0.042845
229717.672528 0.042227
229717.574467 0.042948
