logz err
229721.712135 0.011077
229721.724577 0.011022
229721.723467 0.011011
229721.727033 0.011017
229721.713265 0.011176
229721.727608 0.010905
229721.725128 0.010983
229721.715979 0.011010
229721.723997 0.011064
229721.710317 0.010997
229721.735187 0.010899
229721.709781 0.010997
229721.714109 0.011081
229721.713542 0.011027
229721.719778 0.010983
229721.730066 0.011101
229721.705505 0.011026
229721.717761 0.010876
229721.705951 0.010863
229721.710288 0.010997
229721.724146 0.010963
229721.703370 0.011137
229721.716288 0.011036
229721.723826 0.011034
229721.713985 0.011113
