logz err
229717.606669 0.009177
229717.587601 0.009245
229717.603265 0.009180
229717.601464 0.009172
229717.603675 0.009282
229717.602162 0.009133
229717.600113 0.009140
229717.582325 0.009237
229717.592722 0.009137
229717.601129 0.009184
229717.580799 0.009272
229717.594311 0.009183
229717.598244 0.009135
229717.600685 0.009193
229717.607334 0.009228
229717.605670 0.009113
229717.606215 0.009224
229717.604476 0.009164
229717.620414 0.009245
229717.588852 0.009217
229717.606942 0.009212
229717.597393 0.009187
229717.610139 0.009174
229717.605857 0.009205
229717.588157 0.009250
