logz err
229737.883836 0.049425
229737.890440 0.049614
229737.823169 0.050739
229737.910347 0.049294
229737.874586 0.049152
229737.887450 0.049539
229737.895143 0.049788
229737.887596 0.049641
229737.889259 0.050089
229737.886490 0.048884
229737.895884 0.049433
229737.859841 0.049728
229737.908292 0.049525
229737.822613 0.050704
229737.865261 0.049783
229737.881508 0.049897
229737.838084 0.050841
229737.816954 0.050429
229737.870271 0.049674
229737.804268 0.050796
229737.795652 0.050702
229737.870396 0.050087
229737.910514 0.049398
229737.843433 0.050093
229737.867753 0.050218
