logz err
229724.095991 0.042629
229724.099062 0.042619
229724.049608 0.042984
229724.125589 0.043035
229724.087924 0.042587
229724.136015 0.042551
229724.084514 0.043074
229724.088432 0.042741
229724.107621 0.042560
229724.066344 0.042805
229724.088616 0.042799
229724.104349 0.042363
229724.082390 0.043474
229724.092833 0.042417
229724.091187 0.042616
229724.036426 0.043493
229724.157563 0.042123
229724.055272 0.042916
229724.115452 0.042725
229724.077039 0.043052
229724.136987 0.042181
229724.069822 0.042781
229724.079770 0.043137
