logz err
229734.183221 0.050688
229734.120947 0.051636
229734.150873 0.051471
229734.181424 0.050400
229734.121713 0.051885
229734.095664 0.051898
229734.123109 0.051632
229734.145294 0.051305
229734.202155 0.050960
229734.128010 0.051675
229734.166449 0.051313
229734.114907 0.051765
229734.092985 0.051511
229734.208555 0.050666
229734.102128 0.052224
229734.165792 0.051196
229734.137786 0.051843
229734.140221 0.051505
229734.157703 0.050876
229734.146418 0.051577
229734.104648 0.052246
229734.208506 0.050440
229734.113545 0.051962
229734.117610 0.051325
229734.140409 0.051487
