logz err
83522.211853 0.029359
83522.211724 0.029373
83522.272079 0.028700
83522.186935 0.029782
83522.209587 0.029331
83522.233431 0.029216
83522.213901 0.029080
83522.224123 0.029313
83522.206133 0.029373
83522.248857 0.028978
83522.259637 0.028845
83522.186420 0.029411
83522.206463 0.029096
83522.160500 0.029510
83522.184709 0.029714
83522.213230 0.029087
83522.177607 0.029585
83522.226651 0.028933
83522.242020 0.029168
83522.201661 0.029255
83522.215834 0.029541
83522.217288 0.029569
83522.199842 0.029066
83522.204244 0.029601
83522.243296 0.029225
