logz err
83522.333986 0.008766
83522.338489 0.008646
83522.317689 0.008842
83522.317441 0.008706
83522.334535 0.008826
83522.327659 0.008776
83522.325476 0.008784
83522.319422 0.008770
83522.330738 0.008779
83522.309845 0.008809
83522.320981 0.008814
83522.308695 0.008864
83522.343476 0.008807
83522.338688 0.008758
83522.317800 0.008712
83522.342024 0.008677
83522.316173 0.008876
83522.335058 0.008858
83522.310544 0.008981
83522.309878 0.008798
83522.317843 0.008898
83522.338053 0.008835
83522.326437 0.008844
83522.314689 0.008881
83522.333225 0.008848
