logz err
83520.656969 0.024465
83520.653162 0.024458
83520.646002 0.024695
83520.631619 0.024989
83520.637708 0.024693
83520.638330 0.024767
83520.615217 0.024513
83520.640918 0.024692
83520.635092 0.024491
83520.657201 0.024531
83520.622708 0.025045
83520.628603 0.024762
83520.633909 0.024802
83520.646721 0.024481
83520.638780 0.024756
83520.636110 0.024643
83520.656830 0.024593
83520.637747 0.024855
83520.604655 0.024788
83520.629341 0.025043
83520.634356 0.024741
83520.629953 0.024732
83520.635945 0.024737
83520.656971 0.024297
83520.627852 0.024864
