logz err
83520.431552 0.024702
83520.456180 0.024684
83520.470786 0.024691
83520.451091 0.024820
83520.462606 0.024851
83520.444164 0.024760
83520.459831 0.024801
83520.447791 0.024832
83520.454766 0.024554
83520.431304 0.024980
83520.472045 0.024413
83520.453152 0.024519
83520.480797 0.024393
83520.426599 0.024974
83520.454070 0.024641
83520.463759 0.024511
83520.475887 0.024469
83520.462185 0.024652
83520.452243 0.024809
83520.477310 0.024435
83520.459406 0.024753
83520.453361 0.024549
83520.444614 0.024775
83520.488148 0.024574
83520.479326 0.024373
